key,N,R2,R2adj,RMSE,x_Intercept__B,x_Intercept__p,caliber_B,caliber_p,myelin_B,myelin_p,length_B,length_p,int_my_cal_B,int_my_cal_p,int_my_len_B,int_my_len_p,dom_x1,domfrac_x1,dom_x2,domfrac_x2,dom_x3,domfrac_x3,dom_x1_x2,domfrac_x1_x2,dom_x2_x3,domfrac_x2_x3
Control–Control,586,0.398207726283925,0.393019861855338,0.779089300494277,-0.112817202906527,0.0133814215448974,0.569882543954522,6.89380351566736e-18,-0.142598576036665,0.0447270174685645,0.287058401048403,2.52005531787105e-05,-0.0562893376949162,0.401902853837322,0.0891980619723384,0.270849475331585,0.205794749875691,43.3098320418493,0.148753886488967,31.3054917256199,0.0751353324026289,15.812350065937,0.0179643091120344,3.78061739116298,0.0275203851550597,5.79170877543086
Control–Default,1708,0.32024906894772,0.318252150818894,0.825680234219705,-0.128223991423261,2.41585818663074e-07,0.39022659280793,7.68714642899103e-27,0.0330606027968047,0.336875274160917,0.00179338873195177,0.960387868864434,-0.0929896102928757,0.00550592276654927,0.106193552581646,0.0228763317599834,0.157949197463507,39.152299460812,0.114894769601382,28.4800081175064,0.0698505461426475,17.314488101214,0.0229512435896839,5.68913281264984,0.0377767742896199,9.36407150781772
Control–DorsAtt,817,0.372906408775637,0.369040233737263,0.794329759144612,-0.120783971123156,0.000560377800508733,0.474011043489115,2.31771396464996e-19,0.0874716820742565,0.0904177071656777,0.0523862826157404,0.328052454252281,-0.272569832955187,8.60247567581708e-08,-0.108142369530884,0.085861383073412,0.202067509821317,41.9043561773249,0.12500005922849,25.9222623603826,0.0737548267875982,15.2951285154026,0.0435030680027162,9.02157926330767,0.0378857625207756,7.85667368358221
Control–Limbic,210,0.396689017003518,0.381901983106545,0.786192099231133,-0.0689390397292116,0.294174574899169,0.736835075480434,5.73288558691459e-10,0.147191009999413,0.102445126183067,0.213198954105827,0.0795636321161937,-0.159165599215491,0.0893751187863493,0.0151865509256696,0.885131805737236,0.248404173498964,61.7473942814368,0.0175694591034166,4.3673514147892,0.0747618176655086,18.5840171989232,0.0235854440278991,5.86278278331551,0.037970046706142,9.43845432153537
Control–SalVentAtt,804,0.287643321591612,0.283179933882287,0.84665226989462,-0.0817163877638183,0.0369774647745334,0.370178647575934,1.28526524524887e-13,-0.0164941457114986,0.783717086023752,4.01345297475519e-05,0.999454354462001,-0.135181144126486,0.00103337542930133,0.0113392435431499,0.845518615653613,0.158401525838658,44.3037086088743,0.0904744602402895,25.3050221695069,0.0618595323759751,17.3016432926151,0.0190954858501681,5.34086295173969,0.0277045854060818,7.74876297726399
Control–SomMot,703,0.044451666281551,0.0375969436580328,0.981021435210244,-0.065869971233473,0.113266561924535,0.14260407046246,0.0122490312030741,-0.0174757478551448,0.686575577962261,-0.000979411317509991,0.987333731902703,-0.0030182927572059,0.956205392610876,0.136645082098255,0.0187903583459422,0.0163259917233614,27.6742104467934,0.0122347920356569,20.7392123740345,0.00708810512231911,12.0150564907714,0.00581839012220375,9.86276089268151,0.0175262440628163,29.7087597957192
Control–Visual,328,0.417041126296614,0.407988969872648,0.769422530296164,-0.134808927990995,0.00389987647651983,0.309493081949962,7.94580666050563e-06,-0.0892862189469436,0.110664251455081,-0.00996281743155857,0.879049351103269,0.0410586632415617,0.500575447343126,0.345733777315871,1.88947086627423e-05,0.155303276372408,29.0238605170814,0.168628937658088,31.5142273881963,0.0922938087353196,17.2483330287294,0.031578243657455,5.90150163407125,0.0872840147549261,16.3120774319216
Default–Default,1400,0.336433755191917,0.334053675404226,0.816055344076475,-0.136921739433306,3.28898634453921e-06,0.551649481337995,2.79411602167582e-32,0.17207134304259,9.70910473008936e-06,0.0478465755414919,0.285798638025175,-0.16427169111152,0.000405506167862341,0.0331507414668463,0.587665648763948,0.186442046350547,45.0389832494033,0.0842102430807221,20.3427488690493,0.084340209039069,20.3741448697667,0.0208768609735985,5.04324324955183,0.0380876904257823,9.20087976222878
Default–DorsAtt,1046,0.223849856199449,0.220118365123484,0.883109073034875,-0.0849721583390108,0.00611403739928911,0.296462731270251,3.90565681470713e-10,0.0807075216873353,0.0351471832383946,-0.0649321320859438,0.138588664977275,-0.184569066551129,1.35608491304138e-06,-0.0455139738728466,0.334976732766263,0.12124835370138,42.693121153025,0.0558435316864754,19.6632332821221,0.0558258661020132,19.6570130002407,0.0280753128423532,9.88568253503654,0.0230066771408585,8.10095002957575
Default–Limbic,471,0.370954146636103,0.364190212728965,0.797376816361647,-0.00355037345898814,0.937383536999517,0.726369748625147,6.38847674939776e-25,-0.206941037966183,0.000123156254827666,0.477399256699703,1.66994964144355e-10,-0.252849657057128,2.43843998601252e-06,-0.200120879259335,0.00493797313450432,0.232701042902795,51.7502253469822,0.078527472465358,17.4636707481744,0.0661249488988114,14.7054820377432,0.0381062425612475,8.47442115029573,0.034202186125004,7.60620071680446
Default–SalVentAtt,1182,0.305950826869217,0.302999937527674,0.834865296004287,-0.0902505800658567,0.00246977797115687,0.464820555533892,1.57982530008018e-31,0.0960490793884741,0.0160707472718426,-0.0399006247153247,0.352457260349347,-0.0386948030311623,0.280862211428437,0.115023858045907,0.0238163423074936,0.183887982320797,50.7428178424011,0.0619491936959228,17.0945192367816,0.0703211544911616,19.4047130637791,0.0104614750300007,2.88678311171027,0.0357723321867577,9.87116674532795
Default–SomMot,757,0.268459758301954,0.263589317278665,0.858143742458881,-0.0503836887973118,0.124606982868848,0.381956633799503,5.84194006163257e-13,-0.039585867349744,0.278714709095502,0.0234786124745408,0.628114483096702,-0.123992962363347,0.000937346528858058,-0.0165097311743147,0.741271727554512,0.148256636291583,47.1675000862136,0.0612564419635821,19.4885929147607,0.0552023330445428,17.5624924034884,0.0207598607391979,6.60470085993373,0.0288441979787901,9.17671373560353
Default–Visual,860,0.309474635391941,0.305431746840372,0.833407615251762,-0.104662663729956,0.00145825696801488,0.187384732796311,4.66496888133873e-05,0.0711279897994681,0.0979960791163312,-0.179840175147886,2.13813669061562e-05,-0.0866852002491698,0.0149584280290495,0.102833973179213,0.0489622070067127,0.130071300808375,33.3449448780571,0.0963658587553536,24.704252424275,0.102382202163999,26.2465960318346,0.021403540875485,5.48698972219654,0.0398551175706019,10.2172169436368
DorsAtt–DorsAtt,471,0.528314799253316,0.52324291537432,0.690475984104936,-0.249986111373377,6.47386768259857e-07,0.698032269663705,4.58581717351135e-20,0.219872084964344,0.00787774736795561,0.0916749705586592,0.300366971589606,-0.374884127229301,5.61722265856206e-06,-0.0771454509144748,0.435608425296314,0.268960284447502,38.9303833901463,0.194474528982781,28.1490183149905,0.115146532492127,16.6667679771859,0.0597950762371836,8.65497762072361,0.0524985732188971,7.59885269695369
DorsAtt–Limbic,110,0.671379432557977,0.655580366815572,0.586872757234843,-0.104881737272308,0.098444203159969,0.0316739755526331,0.801107323843758,0.388267391865859,4.41391174712526e-06,-0.805892941576274,1.59117113226081e-10,-0.144915729011449,0.0922693353305576,0.0504539407604011,0.642616449410768,0.252421149784636,33.9196737613073,0.0842615197845431,11.3228359198989,0.35947526672955,48.3053174550885,0.00646790148027798,0.869139168086697,0.0415474451391096,5.5830336956186
DorsAtt–SalVentAtt,615,0.364988373127576,0.35977481297263,0.800140729514109,-0.106185797269988,0.00501007247616635,0.332322011074189,5.20993604653631e-11,-0.00116248814337746,0.984881373699311,-0.107486888442947,0.0372166615013179,-0.0954276233599715,0.0298652967923263,0.0729784663298706,0.202043684119222,0.174395079386839,37.4168634680124,0.153215903036673,32.8728227035291,0.0962541726801641,20.6515530716974,0.0198782326387408,4.26492031337258,0.0223434597987426,4.7938404433885
DorsAtt–SomMot,969,0.415159704270684,0.412123150294935,0.76673127607074,-0.0682721369033433,0.0344411671733272,0.385908378498806,2.16744560721235e-16,-0.379821019942432,7.20406731417663e-16,0.335865955585901,9.68652909887368e-11,-0.297957034898252,2.42266461812428e-14,-0.208147950440274,5.02540700061787e-05,0.182353413598598,34.22850375095,0.206757927034378,38.8093337074183,0.071656855141629,13.4502935075046,0.0509234517262505,9.55854636349231,0.0210614489401093,3.95332267063476
DorsAtt–Visual,460,0.392447083947419,0.385755972537149,0.783737218372875,-0.17238889472119,0.00117399642502439,0.515388972274001,8.24812613615346e-12,0.119708124597514,0.0895661649521599,0.026729281237972,0.754498719588235,-0.132853624013999,0.0431013966327806,0.0959364389401914,0.316074177797241,0.195799739791756,40.9855018824317,0.110409490217671,23.1113094121958,0.0590444004788922,12.3593851020867,0.0392315333471064,8.21208488611185,0.0732441082213469,15.3317187171739
Limbic–Limbic,123,0.749451688744208,0.738744495955499,0.511131591710492,-0.186133983637015,0.00343070418235116,0.733779456942492,2.27372486190718e-11,-0.227120231517583,0.00122942014206703,0.0839080084898402,0.498277913001712,-0.0819886976993664,0.319466873495837,0.238195885730533,0.0116140079412253,0.371430254436404,40.1908201272424,0.199966167418812,21.6374519045528,0.218190993100001,23.6094794441899,0.0274992666691061,2.97557365650285,0.107080213354361,11.586674867512
Limbic–SalVentAtt,90,0.353904559924074,0.315446498014793,0.827377484577147,-0.610681605966295,0.000150812606520889,-0.193861578639766,0.360017348385679,0.924047743539634,0.000318533595192889,-0.91909534306405,0.000186432556237019,0.0206789662800265,0.881654308528155,0.835623194771956,0.000502389195952448,0.0902211279472514,16.5239742978005,0.146327969635262,26.7999266282291,0.133561602432941,24.4617700530778,0.022505256677411,4.12183145305348,0.1533854248226,28.0924975678391
Limbic–SomMot,11,0.354135065086729,-0.291729869826543,1.13654294675852,0.507839978745116,0.433045853254059,0.0555683625933186,0.928181561413703,-0.757302744763647,0.576008947096524,0.793600850808868,0.618812278071502,-0.651749820086366,0.494507646263966,-1.3817870654783,0.357307235068185,0.0649710339395759,13.3761201844377,0.0985987920813909,20.2993428448075,0.179782496491265,37.0132986087602,0.0353878704221661,7.28559142645672,0.10698386638712,22.0256469355379
Limbic–Visual,352,0.59164734284091,0.585746292881963,0.643625440079893,-0.102921914551974,0.0311909479937155,0.0377289482710404,0.552762246875296,0.0835098481899409,0.293730557121363,-0.561874679682125,2.00476511462989e-16,-0.166818965302998,0.000382279827903967,0.0170069441906593,0.832842880459856,0.220723827685039,29.435604830224,0.195671333834221,26.0946184186591,0.293515183243423,39.1430188405064,0.0133834100166819,1.78480399086796,0.0265594551618271,3.54195391974252
SalVentAtt–SalVentAtt,426,0.358612698979053,0.35097713587166,0.80561955297047,-0.221455982106324,0.000440420108961248,0.272055725670882,4.53705405446399e-05,0.198745798755671,0.0803665797826905,-0.246607105804384,0.00752403447095651,-0.187270727862263,0.00457997006601289,0.126177183435796,0.18044872672495,0.163402631366362,33.8405321694596,0.141274038701928,29.2577213195738,0.120546235339237,24.9650126242977,0.0261029397745437,5.405894420252,0.0315348573272998,6.53083946641687
SalVentAtt–SomMot,1089,0.420735912140788,0.418061562704688,0.76284889545395,-0.23010166446082,6.97011592002935e-14,0.367291122614562,2.35279854895059e-20,0.297736051607178,2.02247776875428e-11,-0.289019884223975,2.96372228570099e-09,-0.0183891349264813,0.616237054919765,0.324867158964904,2.31240164131404e-11,0.19345256029251,35.8761406618579,0.112053844730935,20.7805959724206,0.116137899894403,21.537991673433,0.0255731904382929,4.74259620006796,0.0920059459717643,17.0626754922205
SalVentAtt–Visual,158,0.317431324547525,0.294978407591852,0.839655639180818,0.027714593139613,0.699321157295608,-0.163038893159622,0.0476312003181005,0.0987732633335622,0.188025375656186,-0.531475964480976,2.43974527152428e-09,0.00680670132344773,0.940215206743621,0.0899187689625692,0.164184734966979,0.0209532467903316,6.11888795762813,0.0371565045857321,10.8506567374608,0.257681462462566,75.2496266255854,0.0120084499087472,3.50677679080831,0.0146358725041114,4.27405188851738
SomMot–SomMot,1384,0.478287818431028,0.476394813418078,0.723605684459376,-0.0922553667244491,0.0016989770941955,0.510264049714269,1.21689278879734e-41,-0.2784344371038,1.74372922461116e-10,0.279624180701942,1.51956122582965e-10,-0.297026189509617,4.16178956716287e-15,-0.182125392168949,0.000439853653647967,0.240418529740456,39.1031904491809,0.21512090248327,34.9886243314277,0.101722301285318,16.5447585274847,0.0369510507982871,6.0099526364404,0.0206181974584858,3.35347405546635
SomMot–Visual,138,0.372766254684058,0.349007400694818,0.806841123955133,-0.0089990795539163,0.896106029766727,-0.210458688983047,0.010464726998333,-0.485979896920627,3.5199641106741e-10,-0.291126403725829,0.000389073678583612,0.173141339715499,0.083236016321893,0.213553969755717,0.0135866242740906,0.0213464869633026,5.24033599050387,0.297744999116005,73.0932371936644,0.0580081994205318,14.2403972930218,0.00742158415700356,1.82192014223974,0.0228283163617839,5.60410938057024
Visual–Visual,1064,0.453402671466067,0.45081950828774,0.741067130368268,-0.101112407332502,0.0296259439067245,0.900666387450295,1.46923706806351e-67,-0.0136011969085572,0.814994122474094,0.445082766333896,1.59883784443179e-08,0.0515953613526364,0.2423754516963,0.194050533140045,0.0207416229187501,0.250061928225616,52.5471507470561,0.0917390634663877,19.2777302469357,0.0652394660868975,13.7091962916987,0.0275029382130041,5.7793725359175,0.0413376454547151,8.686550178392
